1	30	1094315191	1094317071	1880	1255
1	30	1094322710	1094323650	940	2195
1	30	1094344638	1094345580	942	3131
1	30	1094365629	1094366568	939	5954
1	30	1096089334	1096095639	6305	4072
1	30	1096259815	1096260756	941	164176
1	30	1096273628	1096274886	1258	12872
1	30	1096278348	1096283090	4742	1895
1	30	1096294389	1096296284	1895	5029
1	30	1096315388	1096316014	626	4069
1	30	1096324153	1096324781	628	5007
1	30	1096523446	1096524081	635	2503
1	30	1096542625	1096549834	7209	5652
2	15	1095050682	1095051330	648	259930
2	15	1095054514	1095054827	313	1920
2	43	1095844107	1095845719	1612	792777
2	43	1096261042	1096261365	323	415323
2	57	1095992559	1095995736	3177	67773
2	57	1095996988	1096001134	4146	1252
2	57	1096015007	1096016920	1913	1587
2	57	1096346487	1096355980	9493	97027
2	63	1096006807	1096009334	2527	3145
2	67	1094725595	1094726848	1253	3830
2	67	1094791383	1094801285	9902	64535
2	67	1096262154	1096265017	2863	337038
3	25	1095913719	1095914032	313	84399
3	28	1094703157	1094703471	314	1274
3	28	1094782156	1094784719	2563	78685
3	28	1094792783	1094795632	2849	8064
3	28	1095224704	1095231658	6954	89772
3	28	1095934115	1095940701	6586	702457
3	28	1095947774	1095949670	1896	7073
3	62	1094792459	1094795632	3173	7740
3	62	1095224704	1095231658	6954	172735
3	62	1095829320	1095829633	313	597662
3	65	1096261253	1096261572	319	431620
3	72	1094966008	1094967266	1258	1252
3	72	1095098595	1095099534	939	131329
3	72	1095913719	1095914354	635	482100
3	72	1096345388	1096346031	643	431034
3	74	1094783410	1094784719	1309	78975
3	74	1094793105	1094795632	2527	8386
3	74	1095044678	1095049134	4456	249046
3	74	1095051649	1095051969	320	2515
3	74	1095224704	1095231339	6635	172735
3	74	1095828997	1095829633	636	432013
3	74	1096261253	1096261572	319	431620
4	12	1095933994	1095936815	2821	2580
4	12	1095944135	1095946125	1990	7320
4	12	1095986038	1095986990	952	39913
4	12	1095987613	1096007515	19902	623
4	12	1096009107	1096013871	4764	1592
4	12	1096348923	1096352084	3161	166218
4	12	1096355229	1096357112	1883	3145
4	12	1096358722	1096364084	5362	1610
4	12	1096441341	1096448298	6957	77257
4	19	1095945470	1095947459	1989	2334
4	19	1096001936	1096002685	749	54477
4	19	1096343486	1096345109	1623	335971
4	24	1095943483	1095945791	2308	11744
4	24	1095987613	1095990462	2849	1575
4	24	1095992036	1095993926	1890	1574
4	24	1095995247	1095995887	640	1321
4	24	1096338407	1096343169	4762	342520
4	24	1096347664	1096347978	314	4495
4	24	1096358389	1096363770	5381	10411
4	32	1095932715	1095933357	642	1301
